Correct_Company_Name,Error_By_OCR_Reader
"Thai QUARTZ Mining Co., Ltd","Thai 0UART2 Mining Co., Ltd"
Thames Water Utilities CAYMAN Finance Limited,Thames Water Utilities 67YMAN Finance Limited
"Tesia Clearinghouse, LLC","Tesia C1earing1ouse, LLC"
The Old Malt SCOOP Inn,The Old Malt 5C0OP Inn
"The OLD MILL - Troy, Inc","The 01D MILL - Troy, Inc"
The Ora BANDA Hotel,The Ora 87NDA Hotel
The ORANGE Chef Co,The 0RAN9E Chef Co
"The PAJA Group, LLC","The P71A Group, LLC"
TJX Deutschland Ltd. & Co. KG,71X Deutschland Ltd. & Co. KG
The Mill LIQUORSAVE Limited,The Mill LI0UOR5AVE Limited
"TEHAMA County Opportunity Center, Inc","T81AMA County Opportunity Center, Inc"
"Thai QUARTZ Mining Co., Ltd","Thai QUART2 Mining Co., Ltd"
Thames Water Utilities CAYMAN Finance Limited,Thames Water Utilities C7YMAN Finance Limited
"Tesia Clearinghouse, LLC","Tesia Clearing1ouse, LLC"
The Old Malt SCOOP Inn,The Old Malt 5COOP Inn
"The OLD MILL - Troy, Inc","The O1D MILL - Troy, Inc"
The Ora BANDA Hotel,The Ora 8ANDA Hotel
The ORANGE Chef Co,The 0RANGE Chef Co
"The PAJA Group, LLC","The PA1A Group, LLC"
TJX Deutschland Ltd. & Co. KG,7JX Deutschland Ltd. & Co. KG
The Mill LIQUORSAVE Limited,The Mill LI0UORSAVE Limited
"TEHAMA County Opportunity Center, Inc","T8HAMA County Opportunity Center, Inc"
