Correct_Company_Name,Error_By_OCR_Reader,Corrected_Names
"Thai QUARTZ Mining Co., Ltd","Thai 0UART2 Mining Co., Ltd","thai quartz mining co., ltd"
Thames Water Utilities CAYMAN Finance Limited,Thames Water Utilities 67YMAN Finance Limited,thame water utility cayman finance limited
"Tesia Clearinghouse, LLC","Tesia C1earing1ouse, LLC","tesium clearinghouse, llc"
The Old Malt SCOOP Inn,The Old Malt 5C0OP Inn,old malt scoop inn
"The OLD MILL - Troy, Inc","The 01D MILL - Troy, Inc","old mill troy, inc"
The Ora BANDA Hotel,The Ora 87NDA Hotel,ora banda hotel
The ORANGE Chef Co,The 0RAN9E Chef Co,orange chef
"The PAJA Group, LLC","The P71A Group, LLC","paja group, llc"
TJX Deutschland Ltd. & Co. KG,71X Deutschland Ltd. & Co. KG,ttx deutschland ltd. co.
The Mill LIQUORSAVE Limited,The Mill LI0UOR5AVE Limited,mill liquorsave limited
"TEHAMA County Opportunity Center, Inc","T81AMA County Opportunity Center, Inc","tehama county opportunity center, inc"
"Thai QUARTZ Mining Co., Ltd","Thai QUART2 Mining Co., Ltd","thai quartz mining co., ltd"
Thames Water Utilities CAYMAN Finance Limited,Thames Water Utilities C7YMAN Finance Limited,thame water utility cayman finance limited
"Tesia Clearinghouse, LLC","Tesia Clearing1ouse, LLC","tesium clearinghouse, llc"
The Old Malt SCOOP Inn,The Old Malt 5COOP Inn,old malt scoop inn
"The OLD MILL - Troy, Inc","The O1D MILL - Troy, Inc","old mill troy, inc"
The Ora BANDA Hotel,The Ora 8ANDA Hotel,ora banda hotel
The ORANGE Chef Co,The 0RANGE Chef Co,orange chef
"The PAJA Group, LLC","The PA1A Group, LLC","paja group, llc"
TJX Deutschland Ltd. & Co. KG,7JX Deutschland Ltd. & Co. KG,tjx deutschland ltd. co
The Mill LIQUORSAVE Limited,The Mill LI0UORSAVE Limited,mill liquorsave limited
"TEHAMA County Opportunity Center, Inc","T8HAMA County Opportunity Center, Inc","tehama county opportunity center, inc"
